idproperty|province|municipality|surface|rooms|baths|property_type|property_subtype|transacion_type|price|description
qkgdhixsul|Girona|Castell-Platja d'Aro|60|2|1|Vivienda|Apartamento|Sell|178000.0|apartamento de 60 m2, dsistribuido en cocina independiente totalmente equipada, salon comedor con salida a terraza de 14 m2 soleada, 2 habitaciones dobles, 1 baño completo, parking exteriror comunitario, psicina comunitaria, zona ajardinada comunitaria, pista de basket comunitaria, zona de juegos para niños. a 5 minutos a pie de la playa, del centro y del centro comercial.
swigwvclxz|Barcelona|Vilanova i la Geltrú|197|4|2|Vivienda|Casa-Chalet|Sell|345000.0|VILANOVA I LA GELTRULes presentamos esta casa situada a 1km de la playa con jardín y porche con barbacoa. La principal característica de esta vivienda es la amplitud de todas sus estancias. En la planta baja encontraremos un gran salón-comedor en el que acoger a nuestros invitados, cocina de unos 25 m2 y aseo de cortesía. En la planta primera se disponen las habitaciones, una suite con baño y vestidor, otras dos habitaciones dobles, y otro baño completo. En la buhardilla tendremos otra habitación doble con salida a una terraza.  El precio de la oferta puede ser modificado o darse de baja sin previo aviso. Todos los datos expuestos son meramente orientativos. El precio no incluye impuestos ni gastos. Se debe añadir a la compra en viviendas de segunda mano el ITP, en viviendas de Obra Nueva el IVA y AJD y en ambos casos los honorarios de notaria y registro.
bfvgsrcdoj|Lleida|Fondarella|375|5|3|Vivienda|Casa-Chalet|Sell|180000.0| 
tsracvmevc|Girona|Girona Capital|89|4|2|Vivienda|Piso|Sell|187000.0|Pis de 89m2, menjador de 23m2, cuina office de 12m2, 4 habitacions amb una tipus suite, armaris, 2 banys, terra de gres, tancaments exteriors d´alumini i doble vidre, calefacció gas ciutat, safareig, balcó i plaça d´aparcament en mateix edifici.
biayppbmen|Barcelona|Manresa|180|6|1|Vivienda|Piso|Sell|350000.0|MANRESA, piso de 6 habitaciones muy amplias todas dobles, comedor estar con chimenea, varios balcones,cocina amplia,varios baños,amplio recibidor y patios interiores. Piso en edificio histórico actualmente se utiliza como un despacho de oficinas. muy céntrico
xncizfqizu|Barcelona| Barcelona Capital|240|5|4|Vivienda|Piso|Sell|2600000.0|Excepcional piso dúplex de obra nueva de 250 m2 construidos, ubicado en Pedralbes, exclusivo barrio de Barcelona, rodeado de los mejores colegios extranjeros.   Se divide en dos plantas. En la planta principal encontramos un gran salón comedor con grandes ventanales y cocina americana con isla central con acceso al jardín de 240 m2 con piscina, en la zona d enoche podemos disfrutar de 4 dormitorios todos ellos exteriores d elos cuales, 2 son en suite, ambos dobles, 2 dormitorios medianos que comparten un baño completo más 1 baño de cortesía en la misma planta.  En la primera planta nos sorprende una espectacular y privada suite con vestidor y baño muy amplio con una especial bañera de hidromasaje y ducha con hamman.  El piso se vende totalmente amueblado (muebles de Italia, cocina Miele eléctrica de Alemania horno de gran tamaño, Tepanyaki y nevera bodega para vinos).  En el jardín de 240 m2, con césped, orientado a noreste encontramos una piscina privada climatizada, un jacuzzi y una zona de Barbacoa. El suelo de la terraza es de teca de gran calidad.  Piso a estrenar totalmente equipado para entrar a vivir.    Se caracteriza por su interiorismo muy cuidado y la calidad de los materiales seleccionados.   Calefacción por radiadores en todas las estancias, bomba de calor frio y en los baños.  La finca cuenta con servicio de portero y seguridad las 24 horas.  Incluido en el precio 3 plazas de parquing amplias mas un trastero.  No duden en contactarnos a culaquier hora.
kvsdvpkour|Girona|Sils|259|0|0|Vivienda|Casa-Chalet|Sell|138600.0|Casa en construcción. Construïda un 70%. Construïda sobre una parcela de 950m2.  Situada en Sils, Urbanización Les Comes.
zvepjajedz|Girona|Salt|77|3|2|Vivienda|Piso|Sell|90200.0|. Consta de 3 habitacions, menjador amb sortida a un balcó, cuina, 1 bany complert, 1 lavabo. Té 2 terrasses petites en total 20 m2. Amb calefacció y ascensor..
qxdlmwgklg|Barcelona|Castelldefels|300|5|4|Vivienda|Casa-Chalet|Sell|950000.0|Gran casa junto al polideportivo de Can Roca. Superf. 300 m², 300 m² terreno,  5 habitaciones (3 dobles,  2 individuales),  3 baños,  1 aseo, zona urbanizada, cocina office, lavadero, comedor (25m), terrazas, jardín privado, garaje, armarios empotrados, calefacción, puerta blindada, vidrios dobles, chimenea, aire acondicionado, orientación sur-este, muy soleada, piscina, alarmada.
ynyerraoqe|Barcelona|Viladecans|85|0|0|Vivienda|Piso|Sell|218000.0|Ubicado en una zona céntrica de Viladecans, cerca de todos los servicios, 4 habitaciones, dos dobles, baño completo y aseo, salón comedor con salida a terraza de unos 30 m2 aproximadamente, cocina nueva con salida a un gran lavadero, trastero, y patio de unos 8 m2. Acabados de primera calidad !!   Para entrar a vivir !!
